RowNumber,CustomerId,Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalary,TenureAge,ScoreAge,tenure_age,tenure_salary,score_age,score_salary,newAge,newCreditScore,AgeScore,BalanceScore,SalaryScore,newEstimatedSalary,score_balance,age_balance,balance_salary,age_hascrcard,product_utilization_rate_by_year,product_utilization_rate_by_salary,countries_monthly_average_salaries,Germany,Spain,Female,Male
14,15691483,Chin,549,25,5,0,2,0,0,190857.79,0,0,0.2,21.96,0.625,2.62E-05,68.625,0.002876487,20,2,1,1,10,15904.81583,0,0,0,0,0.4,1.05E-05,4.303251037,FALSE,FALSE,TRUE,FALSE
15,15600882,Scott,635,35,7,0,2,1,1,65951.65,0,0,0.2,18.14285714,0.388888889,0.000106138,35.27777778,0.009628266,28,5,4,1,4,5495.970833,0,0,0,0.028571429,0.285714286,3.03E-05,2.435077906,FALSE,TRUE,TRUE,FALSE
16,15643966,Goforth,616,45,3,143129.41,2,0,1,64327.26,0,2.225019533,0.066666667,13.68888889,0.107142857,4.66E-05,22,0.009576034,42,4,7,9,4,5360.605,232.3529383,3180.653556,2.225019533,0,0.666666667,3.11E-05,1.130929325,TRUE,FALSE,FALSE,TRUE
17,15737452,Romeo,653,58,1,132602.88,1,1,0,5097.67,1,26.01244882,0.017241379,11.25862069,0.024390244,0.000196168,15.92682927,0.128097739,57,6,8,8,1,424.8058333,203.0671975,2286.256552,26.01244882,0.017241379,1,0.000196168,0.089621484,TRUE,FALSE,FALSE,TRUE
18,15788218,Henderson,549,24,9,0,2,1,1,14406.41,0,0,0.375,22.875,1.285714286,0.000624722,78.42857143,0.038108037,15,2,1,1,1,1200.534167,0,0,0,0.041666667,0.222222222,0.000138827,0.531915891,FALSE,TRUE,TRUE,FALSE
19,15661507,Muldrow,587,45,6,0,1,0,0,158684.81,0,0,0.133333333,13.04444444,0.214285714,3.78E-05,20.96428571,0.003699157,39,3,7,1,8,13223.73417,0,0,0,0,0.166666667,6.30E-06,5.858987225,FALSE,TRUE,FALSE,TRUE
20,15568982,Hao,726,24,6,0,2,1,1,54724.03,0,0,0.25,30.25,0.857142857,0.000109641,103.7142857,0.013266567,18,8,1,1,3,4560.335833,0,0,0,0.041666667,0.333333333,3.65E-05,1.233857098,FALSE,FALSE,TRUE,FALSE
21,15577657,McDonald,732,41,8,0,2,1,1,170886.17,0,0,0.195121951,17.85365854,0.333333333,4.68E-05,30.5,0.004283553,33,8,6,1,9,14240.51417,0,0,0,0.024390244,0.25,1.17E-05,3.852952967,FALSE,FALSE,FALSE,TRUE
22,15597945,Dellucci,636,32,8,0,2,1,0,138555.46,0,0,0.25,19.875,0.533333333,5.77E-05,42.4,0.00459022,24,5,2,1,7,11546.28833,0,0,0,0.03125,0.25,1.44E-05,5.115767981,FALSE,TRUE,TRUE,FALSE
23,15699309,Gerasimov,510,38,4,0,1,1,0,118913.53,1,0,0.105263158,13.42105263,0.19047619,3.36E-05,24.28571429,0.004288831,34,1,5,1,6,9909.460833,0,0,0,0.026315789,0.25,8.41E-06,4.39054534,FALSE,TRUE,TRUE,FALSE
24,15725737,Mosman,669,46,3,0,2,0,1,8487.75,0,0,0.065217391,14.54347826,0.103448276,0.000353451,23.06896552,0.078819475,43,6,7,1,1,707.3125,0,0,0,0,0.666666667,0.000235634,0.19137243,FALSE,FALSE,FALSE,TRUE
25,15625047,Yen,846,38,5,0,1,1,1,187616.16,0,0,0.131578947,22.26315789,0.238095238,2.67E-05,40.28571429,0.004509206,33,10,5,1,10,15634.68,0,0,0,0.026315789,0.2,5.33E-06,4.230162338,FALSE,FALSE,TRUE,FALSE
26,15738191,Maclean,577,25,3,0,2,0,1,124508.29,0,0,0.12,23.08,0.375,2.41E-05,72.125,0.00463423,22,3,1,1,7,10375.69083,0,0,0,0,0.666666667,1.61E-05,2.807275658,FALSE,FALSE,FALSE,TRUE
27,15736816,Young,756,36,2,136815.64,1,1,1,170041.95,0,0.804599336,0.055555556,21,0.105263158,1.18E-05,39.78947368,0.004445962,34,9,4,9,9,14170.1625,180.9730688,3800.434444,0.804599336,0.027777778,0.5,5.88E-06,2.989485759,TRUE,FALSE,FALSE,TRUE
28,15700772,Nebechi,571,44,9,0,2,0,0,38433.35,0,0,0.204545455,12.97727273,0.333333333,0.000234172,21.14814815,0.014856889,35,3,7,1,2,3202.779167,0,0,0,0,0.222222222,5.20E-05,0.866552805,FALSE,FALSE,FALSE,TRUE
29,15728693,McWilliams,574,43,3,141349.43,1,1,1,100187.43,0,1.410849944,0.069767442,13.34883721,0.115384615,2.99E-05,22.07692308,0.005729262,40,3,6,9,6,8348.9525,246.2533624,3287.196047,1.410849944,0.023255814,0.333333333,9.98E-06,1.761382384,TRUE,FALSE,TRUE,FALSE
30,15656300,Lucciano,411,29,0,59697.17,2,1,1,53483.21,0,1.116185248,0,14.17241379,0,0,34.25,0.007684655,29,1,2,4,3,4456.934167,145.2485888,2058.523103,1.116185248,0.034482759,2,3.74E-05,1.205880456,FALSE,FALSE,FALSE,TRUE
31,15589475,Azikiwe,591,39,3,0,3,1,0,140469.38,1,0,0.076923077,15.15384615,0.136363636,2.14E-05,26.86363636,0.004207323,36,3,5,1,8,11705.78167,0,0,0,0.025641026,1,2.14E-05,5.186434057,FALSE,TRUE,TRUE,FALSE
32,15706552,Odinakachukwu,533,36,7,85311.7,1,0,1,156731.91,0,0.544316087,0.194444444,14.80555556,0.368421053,4.47E-05,28.05263158,0.003400711,29,2,4,5,8,13060.9925,160.0594747,2369.769444,0.544316087,0,0.142857143,6.38E-06,3.533818317,FALSE,FALSE,FALSE,TRUE
33,15750181,Sanderson,553,41,9,110112.54,2,0,0,81898.81,0,1.344494993,0.219512195,13.48780488,0.375,0.000109892,23.04166667,0.006752235,32,2,6,7,5,6824.900833,199.1185172,2685.671707,1.344494993,0,0.222222222,2.44E-05,1.439852496,TRUE,FALSE,FALSE,TRUE
34,15659428,Maggard,520,42,6,0,2,1,1,34410.55,0,0,0.142857143,12.38095238,0.24,0.000174365,20.8,0.015111645,36,1,6,1,2,2867.545833,0,0,0,0.023809524,0.333333333,5.81E-05,1.27051211,FALSE,TRUE,TRUE,FALSE
35,15732963,Clements,722,29,9,0,2,1,1,142033.07,0,0,0.310344828,24.89655172,0.75,6.34E-05,60.16666667,0.005083323,20,8,2,1,8,11836.08917,0,0,0,0.034482759,0.222222222,1.41E-05,5.244168882,FALSE,TRUE,TRUE,FALSE
36,15794171,Lombardo,475,45,0,134264.04,1,1,0,27822.99,1,4.825651017,0,10.55555556,0,0,16.96428571,0.017072213,45,1,7,9,2,2318.5825,282.6611368,2983.645333,4.825651017,0.022222222,1,3.59E-05,0.627322105,FALSE,FALSE,TRUE,FALSE
37,15788448,Watson,490,31,3,145260.23,1,0,1,114066.77,0,1.273466672,0.096774194,15.80645161,0.214285714,2.63E-05,35,0.00429573,28,1,2,9,6,9505.564167,296.449449,4685.813871,1.273466672,0,0.333333333,8.77E-06,4.211592453,FALSE,TRUE,FALSE,TRUE
38,15729599,Lorenzo,804,33,7,76548.6,1,0,1,98453.45,0,0.77751059,0.212121212,24.36363636,0.4375,7.11E-05,50.25,0.008166296,26,10,3,5,5,8204.454167,95.20970149,2319.654545,0.77751059,0,0.142857143,1.02E-05,3.635114828,FALSE,TRUE,FALSE,TRUE
39,15717426,Armstrong,850,36,7,0,1,1,1,40812.9,0,0,0.194444444,23.61111111,0.368421053,0.000171514,44.73684211,0.020826748,29,10,4,1,2,3401.075,0,0,0,0.027777778,0.142857143,2.45E-05,0.920204275,FALSE,FALSE,FALSE,TRUE
40,15585768,Cameron,582,41,6,70349.48,2,0,1,178074.04,0,0.395057472,0.146341463,14.19512195,0.25,3.37E-05,24.25,0.003268303,35,3,6,4,9,14839.50333,120.8753952,1715.840976,0.395057472,0,0.333333333,1.12E-05,3.130696906,TRUE,FALSE,FALSE,TRUE
41,15619360,Hsiao,472,40,4,0,1,1,0,70154.22,0,0,0.1,11.8,0.173913043,5.70E-05,20.52173913,0.006728034,36,1,5,1,4,5846.185,0,0,0,0.025,0.25,1.43E-05,2.590245902,FALSE,TRUE,FALSE,TRUE
42,15738148,Clarke,465,51,8,122522.32,1,0,0,181297.65,1,0.675807546,0.156862745,9.117647059,0.235294118,4.41E-05,13.67647059,0.002564843,43,1,8,8,10,15108.1375,263.4888602,2402.398431,0.675807546,0,0.125,5.52E-06,4.08769954,FALSE,FALSE,TRUE,FALSE
43,15687946,Osborne,556,61,2,117419.35,1,1,1,94153.83,0,1.247101154,0.032786885,9.114754098,0.045454545,2.12E-05,12.63636364,0.00590523,59,2,8,7,5,7846.1525,211.1858813,1924.907377,1.247101154,0.016393443,0.5,1.06E-05,2.122876759,FALSE,FALSE,TRUE,FALSE
44,15755196,Lavine,834,49,2,131394.56,1,0,0,194365.76,1,0.67601701,0.040816327,17.02040816,0.0625,1.03E-05,26.0625,0.004290879,47,10,8,8,10,16197.14667,157.5474341,2681.521633,0.67601701,0,0.5,5.14E-06,4.382344877,FALSE,FALSE,TRUE,FALSE
45,15684171,Bianchi,660,61,5,155931.11,1,1,1,158338.39,0,0.984796612,0.081967213,10.81967213,0.113636364,3.16E-05,15,0.004168288,56,6,8,10,8,13194.86583,236.2592576,2556.247705,0.984796612,0.016393443,0.2,6.32E-06,5.846196647,FALSE,TRUE,TRUE,FALSE
46,15754849,Tyler,776,32,4,109421.13,2,1,1,126517.46,0,0.864869797,0.125,24.25,0.266666667,3.16E-05,51.73333333,0.006133541,28,9,2,6,7,10543.12167,141.0066108,3419.410313,0.864869797,0.03125,0.5,1.58E-05,2.224287271,TRUE,FALSE,TRUE,FALSE
47,15602280,Martin,829,27,9,112045.67,1,1,1,119708.21,1,0.935989854,0.333333333,30.7037037,0.9,7.52E-05,82.9,0.006925172,18,10,1,7,6,9975.684167,135.1576236,4149.83963,0.935989854,0.037037037,0.111111111,8.35E-06,2.104574719,TRUE,FALSE,TRUE,FALSE
48,15771573,Okagbue,637,39,9,137843.8,1,1,1,117622.8,1,1.171913949,0.230769231,16.33333333,0.409090909,7.65E-05,28.95454545,0.005415617,30,5,5,9,6,9801.9,216.3952904,3534.45641,1.171913949,0.025641026,0.111111111,8.50E-06,2.067911392,TRUE,FALSE,TRUE,FALSE
49,15766205,Yin,550,38,2,103391.38,1,0,1,90878.13,0,1.137692644,0.052631579,14.47368421,0.095238095,2.20E-05,26.19047619,0.006052061,36,2,5,6,5,7573.1775,187.9843273,2720.825789,1.137692644,0,0.5,1.10E-05,1.597716772,TRUE,FALSE,FALSE,TRUE
50,15771873,Buccho,776,37,2,103769.22,2,1,0,194099.12,0,0.534619734,0.054054054,20.97297297,0.1,1.03E-05,38.8,0.003997957,35,9,4,6,10,16174.92667,133.7232216,2804.573514,0.534619734,0.027027027,1,1.03E-05,3.412431786,TRUE,FALSE,TRUE,FALSE
51,15616550,Chidiebele,698,44,10,116363.37,2,1,0,198059.16,0,0.587518245,0.227272727,15.86363636,0.37037037,5.05E-05,25.85185185,0.0035242,34,7,7,7,10,16504.93,166.7096991,2644.622045,0.587518245,0.022727273,0.2,1.01E-05,3.482052743,TRUE,FALSE,FALSE,TRUE
52,15768193,Trevisani,585,36,5,146050.97,2,0,0,86424.57,0,1.689924173,0.138888889,16.25,0.263157895,5.79E-05,30.78947368,0.006768908,31,3,4,9,5,7202.0475,249.6597778,4056.971389,1.689924173,0,0.4,2.31E-05,1.519419304,TRUE,FALSE,FALSE,TRUE
53,15683553,O'Brien,788,33,5,0,2,0,0,116978.19,0,0,0.151515152,23.87878788,0.3125,4.27E-05,49.25,0.006736298,28,10,3,1,6,9748.1825,0,0,0,0,0.4,1.71E-05,2.637495265,FALSE,FALSE,TRUE,FALSE
54,15702298,Parkhill,655,41,8,125561.97,1,0,0,164040.94,1,0.765430691,0.195121951,15.97560976,0.333333333,4.88E-05,27.29166667,0.003992906,33,6,6,8,9,13670.07833,191.6976641,3062.487073,0.765430691,0,0.125,6.10E-06,2.883982771,TRUE,FALSE,FALSE,TRUE
55,15569590,Yoo,601,42,1,98495.72,1,1,0,40014.76,1,2.461484712,0.023809524,14.30952381,0.04,2.50E-05,24.04,0.015019458,41,4,6,6,2,3334.563333,163.8863894,2345.13619,2.461484712,0.023809524,1,2.50E-05,0.703494374,TRUE,FALSE,FALSE,TRUE
56,15760861,Phillipps,619,43,1,125211.92,1,1,1,113410.49,0,1.104059422,0.023255814,14.39534884,0.038461538,8.82E-06,23.80769231,0.005458049,42,4,6,8,6,9450.874167,202.2809693,2911.905116,1.104059422,0.023255814,1,8.82E-06,2.557054699,FALSE,FALSE,FALSE,TRUE
57,15630053,Tsao,656,45,5,127864.4,1,1,0,87107.57,0,1.467890793,0.111111111,14.57777778,0.178571429,5.74E-05,23.42857143,0.007530918,40,6,7,8,5,7258.964167,194.9152439,2841.431111,1.467890793,0.022222222,0.2,1.15E-05,1.964005456,FALSE,FALSE,FALSE,TRUE
58,15647091,Endrizzi,725,19,0,75888.2,1,0,0,45613.75,0,1.663713244,0,38.15789474,0,0,362.5,0.01589433,19,8,1,5,3,3801.145833,104.6733793,3994.115789,1.663713244,0,1,2.19E-05,0.801929501,TRUE,FALSE,FALSE,TRUE
60,15804771,Velazquez,614,51,4,40685.92,1,1,1,46775.28,0,0.869816707,0.078431373,12.03921569,0.117647059,8.55E-05,18.05882353,0.013126592,47,4,8,4,3,3897.94,66.26371336,797.7631373,0.869816707,0.019607843,0.25,2.14E-05,1.054637446,FALSE,FALSE,FALSE,TRUE
61,15651280,Hunter,742,35,5,136857,1,0,0,84509.57,0,1.61942606,0.142857143,21.2,0.277777778,5.92E-05,41.22222222,0.008780071,30,9,4,9,5,7042.464167,184.4433962,3910.2,1.61942606,0,0.2,1.18E-05,1.485751934,TRUE,FALSE,FALSE,TRUE
62,15773469,Clark,687,27,9,152328.88,2,0,0,126494.82,0,1.204230181,0.333333333,25.44444444,0.9,7.11E-05,68.7,0.005431052,18,7,1,10,7,10541.235,221.7305386,5641.81037,1.204230181,0,0.222222222,1.58E-05,2.223889241,TRUE,FALSE,TRUE,FALSE
63,15702014,Jeffrey,555,33,1,56084.69,2,0,0,178798.13,0,0.313676043,0.03030303,16.81818182,0.0625,5.59E-06,34.6875,0.003104059,32,2,3,4,9,14899.84417,101.0534955,1699.536061,0.313676043,0,2,1.12E-05,6.601614606,FALSE,TRUE,FALSE,TRUE
64,15751208,Pirozzi,684,56,8,78707.16,1,1,1,99398.36,0,0.7918356,0.142857143,12.21428571,0.205128205,8.05E-05,17.53846154,0.006881401,48,7,8,5,5,8283.196667,115.0689474,1405.485,0.7918356,0.017857143,0.125,1.01E-05,3.670002954,FALSE,TRUE,FALSE,TRUE
65,15592461,Jackson,603,26,4,109166.37,1,1,1,92840.67,0,1.175846426,0.153846154,23.19230769,0.444444444,4.31E-05,67,0.006494998,22,4,1,6,5,7736.7225,181.0387562,4198.706538,1.175846426,0.038461538,0.25,1.08E-05,1.632219937,TRUE,FALSE,FALSE,TRUE
66,15789484,Hammond,751,36,6,169831.46,2,1,1,27758.36,0,6.118209433,0.166666667,20.86111111,0.315789474,0.000216151,39.52631579,0.027054912,30,9,4,10,2,2313.196667,226.1404261,4717.540556,6.118209433,0.027777778,0.333333333,7.21E-05,0.488016174,TRUE,FALSE,TRUE,FALSE
67,15696061,Brownless,581,34,1,101633.04,1,1,0,110431.51,0,0.920326454,0.029411765,17.08823529,0.058823529,9.06E-06,34.17647059,0.00526118,33,3,3,6,6,9202.625833,174.9277797,2989.207059,0.920326454,0.029411765,1,9.06E-06,1.941482243,TRUE,FALSE,TRUE,FALSE
68,15641582,Chibugo,735,43,10,123180.01,2,1,1,196673.28,0,0.626317973,0.23255814,17.09302326,0.384615385,5.08E-05,28.26923077,0.003737162,33,8,6,8,10,16389.44,167.5918503,2864.651395,0.626317973,0.023255814,0.2,1.02E-05,3.457687764,TRUE,FALSE,FALSE,TRUE
69,15638424,Glauert,661,35,5,150725.53,2,0,1,113656.85,0,1.326145586,0.142857143,18.88571429,0.277777778,4.40E-05,36.72222222,0.005815752,30,6,4,10,6,9471.404167,228.0265204,4306.443714,1.326145586,0,0.4,1.76E-05,1.998186533,TRUE,FALSE,TRUE,FALSE
70,15755648,Pisano,675,21,8,98373.26,1,1,0,18203,0,5.404233368,0.380952381,32.14285714,2,0.000439488,168.75,0.0370818,13,6,1,6,1,1516.916667,145.738163,4684.440952,5.404233368,0.047619048,0.125,5.49E-05,0.410421176,FALSE,FALSE,TRUE,FALSE
72,15620344,McKee,813,29,6,0,1,1,0,33953.87,0,0,0.206896552,28.03448276,0.5,0.00017671,67.75,0.023944251,23,10,2,1,2,2829.489167,0,0,0,0.034482759,0.166666667,2.95E-05,0.765554428,FALSE,FALSE,FALSE,TRUE
73,15812518,Palermo,657,37,0,163607.18,1,0,1,44203.55,0,3.701222639,0,17.75675676,0,0,32.85,0.01486306,37,6,4,10,3,3683.629167,249.021583,4421.815676,3.701222639,0,1,2.26E-05,1.632090902,FALSE,TRUE,TRUE,FALSE
74,15779052,Ballard,604,25,5,157780.84,2,1,1,58426.81,0,2.700486985,0.2,24.16,0.625,8.56E-05,75.5,0.01033772,20,4,1,10,3,4868.900833,261.2265563,6311.2336,2.700486985,0.04,0.4,3.42E-05,1.027194269,TRUE,FALSE,TRUE,FALSE
75,15770811,Wallace,519,36,9,0,2,0,1,145562.4,0,0,0.25,14.41666667,0.473684211,6.18E-05,27.31578947,0.003565481,27,1,4,1,8,12130.2,0,0,0,0,0.222222222,1.37E-05,3.281980519,FALSE,FALSE,FALSE,TRUE
76,15780961,Cavenagh,735,21,1,178718.19,2,1,0,22388,0,7.982767107,0.047619048,35,0.25,4.47E-05,183.75,0.032830088,20,8,1,10,2,1865.666667,243.154,8510.39,7.982767107,0.047619048,2,8.93E-05,0.504779942,FALSE,FALSE,TRUE,FALSE
77,15614049,Hu,664,55,8,0,2,1,1,139161.64,0,0,0.145454545,12.07272727,0.210526316,5.75E-05,17.47368421,0.00477143,47,6,8,1,7,11596.80333,0,0,0,0.018181818,0.25,1.44E-05,3.13766324,FALSE,FALSE,FALSE,TRUE
78,15662085,Read,678,32,9,0,1,1,1,148210.64,0,0,0.28125,21.1875,0.6,6.07E-05,45.2,0.00457457,23,6,2,1,8,12350.88667,0,0,0,0.03125,0.111111111,6.75E-06,3.341690115,FALSE,FALSE,TRUE,FALSE
79,15575185,Bushell,757,33,5,77253.22,1,0,1,194239.63,0,0.397721207,0.151515152,22.93939394,0.3125,2.57E-05,47.3125,0.003897248,28,9,3,5,10,16186.63583,102.0518098,2341.006667,0.397721207,0,0.2,5.15E-06,7.171748265,FALSE,TRUE,FALSE,TRUE
80,15803136,Postle,416,41,10,122189.66,2,1,0,98301.61,0,1.243007719,0.243902439,10.14634146,0.416666667,0.000101728,17.33333333,0.004231874,31,1,6,8,5,8191.800833,293.7251442,2980.23561,1.243007719,0.024390244,0.2,2.03E-05,1.728228024,TRUE,FALSE,TRUE,FALSE
81,15706021,Buley,665,34,1,96645.54,2,0,0,171413.66,0,0.563814692,0.029411765,19.55882353,0.058823529,5.83E-06,39.11764706,0.003879504,33,6,3,5,9,14284.47167,145.3316391,2842.515882,0.563814692,0,2,1.17E-05,3.86484623,FALSE,FALSE,TRUE,FALSE
82,15663706,Leonard,777,32,2,0,1,1,0,136458.19,1,0,0.0625,24.28125,0.133333333,1.47E-05,51.8,0.005694052,30,9,2,1,7,11371.51583,0,0,0,0.03125,0.5,7.33E-06,3.076708829,FALSE,FALSE,TRUE,FALSE
83,15641732,Mills,543,36,3,0,2,0,0,26019.59,0,0,0.083333333,15.08333333,0.157894737,0.000115298,28.57894737,0.020868891,33,2,4,1,2,2168.299167,0,0,0,0,0.666666667,7.69E-05,0.58666103,FALSE,FALSE,TRUE,FALSE
84,15701164,Onyeorulu,506,34,4,90307.62,1,1,1,159235.29,0,0.567133203,0.117647059,14.88235294,0.235294118,2.51E-05,29.76470588,0.003177688,30,1,3,5,8,13269.6075,178.4735573,2656.106471,0.567133203,0.029411765,0.25,6.28E-06,3.590261769,FALSE,FALSE,TRUE,FALSE
85,15738751,Beit,493,46,4,0,2,1,0,1907.66,0,0,0.086956522,10.7173913,0.137931034,0.00209681,17,0.258431796,42,1,7,1,1,158.9716667,0,0,0,0.02173913,0.5,0.001048405,0.043011815,FALSE,FALSE,TRUE,FALSE
87,15762418,Gant,750,22,3,121681.82,1,1,0,128643.35,1,0.945885038,0.136363636,34.09090909,0.6,2.33E-05,150,0.005830072,19,9,1,7,7,10720.27917,162.2424267,5530.991818,0.945885038,0.045454545,0.333333333,7.77E-06,4.74979139,FALSE,TRUE,FALSE,TRUE
88,15625759,Rowley,729,30,9,0,2,1,0,151869.35,0,0,0.3,24.3,0.692307692,5.93E-05,56.07692308,0.004800179,21,8,2,1,8,12655.77917,0,0,0,0.033333333,0.222222222,1.32E-05,3.424182675,FALSE,FALSE,FALSE,TRUE
89,15622897,Sharpe,646,46,4,0,3,1,0,93251.42,1,0,0.086956522,14.04347826,0.137931034,4.29E-05,22.27586207,0.006927508,42,5,7,1,5,7770.951667,0,0,0,0.02173913,0.75,3.22E-05,2.102530213,FALSE,FALSE,TRUE,FALSE
90,15767954,Osborne,635,28,3,81623.67,2,1,1,156791.36,0,0.520587805,0.107142857,22.67857143,0.272727273,1.91E-05,57.72727273,0.004049968,25,5,1,5,8,13065.94667,128.5412126,2915.131071,0.520587805,0.035714286,0.666666667,1.28E-05,2.756528833,TRUE,FALSE,TRUE,FALSE
91,15757535,Heap,647,44,5,0,3,1,1,174205.22,1,0,0.113636364,14.70454545,0.185185185,2.87E-05,23.96296296,0.00371401,39,5,7,1,9,14517.10167,0,0,0,0.022727273,0.6,1.72E-05,6.432034411,FALSE,TRUE,TRUE,FALSE
92,15731511,Ritchie,808,45,7,118626.55,2,1,0,147132.46,0,0.806256825,0.155555556,17.95555556,0.25,4.76E-05,28.85714286,0.00549165,38,10,7,7,8,12261.03833,146.8150371,2636.145556,0.806256825,0.022222222,0.285714286,1.36E-05,3.317380501,FALSE,FALSE,FALSE,TRUE
93,15809248,Cole,524,36,10,0,2,1,0,109614.57,0,0,0.277777778,14.55555556,0.526315789,9.12E-05,27.57894737,0.004780386,26,2,4,1,6,9134.5475,0,0,0,0.027777778,0.2,1.82E-05,2.471468479,FALSE,FALSE,TRUE,FALSE
94,15640635,Capon,769,29,8,0,2,1,1,172290.61,0,0,0.275862069,26.51724138,0.666666667,4.64E-05,64.08333333,0.004463389,21,9,2,1,9,14357.55083,0,0,0,0.034482759,0.25,1.16E-05,3.884618732,FALSE,FALSE,FALSE,TRUE
95,15676966,Capon,730,42,4,0,2,0,1,85982.47,0,0,0.095238095,17.38095238,0.16,4.65E-05,29.2,0.008490103,38,8,6,1,5,7165.205833,0,0,0,0,0.5,2.33E-05,3.174659208,FALSE,TRUE,FALSE,TRUE
96,15699461,Fiorentini,515,35,10,176273.95,1,0,1,121277.78,0,1.453472763,0.285714286,14.71428571,0.555555556,8.25E-05,28.61111111,0.00424645,25,1,4,10,7,10106.48167,342.2795146,5036.398571,1.453472763,0,0.1,8.25E-06,4.477838576,FALSE,TRUE,FALSE,TRUE
97,15738721,Graham,773,41,9,102827.44,1,0,1,64595.25,0,1.591873087,0.219512195,18.85365854,0.375,0.000139329,32.20833333,0.011966824,32,9,6,6,4,5382.9375,133.0238551,2507.986341,1.591873087,0,0.111111111,1.55E-05,2.384996677,FALSE,TRUE,FALSE,TRUE
98,15693683,Yuille,814,29,8,97086.4,2,1,1,197276.13,0,0.492134553,0.275862069,28.06896552,0.666666667,4.06E-05,67.83333333,0.004126196,21,10,2,5,10,16439.6775,119.2707617,3347.806897,0.492134553,0.034482759,0.25,1.01E-05,3.468286392,TRUE,FALSE,FALSE,TRUE
